index,img,input
26,../../Data_Processing/Scenario5/resources/masks\29.jpg,"[0.8286458333333333, 0.16666666666666666, 0.12604166666666666, 0.07037037037037037, 0.18560784877089626, 0.8322510822385987]"
23,../../Data_Processing/Scenario5/resources/masks\30.jpg,"[0.7135416666666666, 0.17037037037037037, 0.11458333333333333, 0.07407407407407407, 0.3476529627915511, 0.9188311688945852]"
14,../../Data_Processing/Scenario5/resources/masks\31.jpg,"[0.434375, 0.17037037037037037, 0.12291666666666666, 0.07407407407407407, 0.5056751708664325, 0.8279220777058631]"
19,../../Data_Processing/Scenario5/resources/masks\32.jpg,"[0.578125, 0.16666666666666666, 0.11666666666666667, 0.07407407407407407, 0.458303400996863, 0.8798701296379362]"
26,../../Data_Processing/Scenario5/resources/masks\33.jpg,"[0.8541666666666666, 0.16666666666666666, 0.125, 0.07037037037037037, 0.17614580981908268, 0.835497835445904]"
17,../../Data_Processing/Scenario5/resources/masks\34.jpg,"[0.5671875, 0.21388888888888888, 0.16145833333333334, 0.09444444444444444, 0.3412081032771917, 0.08874458869165856]"
3,../../Data_Processing/Scenario5/resources/masks\35.jpg,"[0.0625, 0.17407407407407408, 0.125, 0.07407407407407407, 0.7880790624132995, 0.7662337659980771]"
26,../../Data_Processing/Scenario5/resources/masks\36.jpg,"[0.8333333333333334, 0.1712962962962963, 0.12708333333333333, 0.07592592592592592, 0.2553108515890255, 0.9556277053465765]"
25,../../Data_Processing/Scenario5/resources/masks\37.jpg,"[0.7666666666666667, 0.1685185185185185, 0.11875, 0.07037037037037037, 0.23650992384806582, 0.825757575670191]"
15,../../Data_Processing/Scenario5/resources/masks\38.jpg,"[0.4671875, 0.17037037037037037, 0.11770833333333333, 0.07037037037037037, 0.4682990907362111, 0.8116883115155396]"
19,../../Data_Processing/Scenario5/resources/masks\39.jpg,"[0.609375, 0.22037037037037038, 0.16875, 0.1, 0.32086779828413, 0.0]"
9,../../Data_Processing/Scenario5/resources/masks\40.jpg,"[0.2984375, 0.21574074074074073, 0.15729166666666666, 0.09444444444444444, 0.4968288828300436, 0.06060606053615282]"
9,../../Data_Processing/Scenario5/resources/masks\41.jpg,"[0.30520833333333336, 0.2175925925925926, 0.16666666666666666, 0.09444444444444444, 0.49832721003278446, 0.050865800914236974]"
15,../../Data_Processing/Scenario5/resources/masks\42.jpg,"[0.4864583333333333, 0.17037037037037037, 0.12708333333333333, 0.07777777777777778, 0.47642700272648036, 0.772727272874079]"
28,../../Data_Processing/Scenario5/resources/masks\43.jpg,"[0.9213541666666667, 0.16574074074074074, 0.12604166666666666, 0.06481481481481481, 0.10420557870553646, 0.9253246751553986]"
24,../../Data_Processing/Scenario5/resources/masks\44.jpg,"[0.7708333333333334, 0.21296296296296297, 0.16666666666666666, 0.0962962962962963, 0.23199441719328687, 0.05627705615721436]"
19,../../Data_Processing/Scenario5/resources/masks\45.jpg,"[0.6192708333333333, 0.21666666666666667, 0.16145833333333334, 0.0962962962962963, 0.3756491040832652, 0.1255411254512441]"
10,../../Data_Processing/Scenario5/resources/masks\46.jpg,"[0.3645833333333333, 0.21574074074074073, 0.1625, 0.09814814814814815, 0.4935859280408914, 0.08549783563815042]"
30,../../Data_Processing/Scenario5/resources/masks\47.jpg,"[0.953125, 0.17777777777777778, 0.08541666666666667, 0.08518518518518518, 0.0636070688181354, 0.8560606058613689]"
26,../../Data_Processing/Scenario5/resources/masks\48.jpg,"[0.8578125, 0.1675925925925926, 0.121875, 0.06851851851851852, 0.15336302621087855, 0.9134199133440135]"
23,../../Data_Processing/Scenario5/resources/masks\49.jpg,"[0.7276041666666667, 0.1675925925925926, 0.121875, 0.06851851851851852, 0.2730034276763872, 0.8441558440499838]"
16,../../Data_Processing/Scenario5/resources/masks\50.jpg,"[0.5135416666666667, 0.16944444444444445, 0.12083333333333333, 0.07592592592592592, 0.42550440261733824, 0.804112554083093]"
6,../../Data_Processing/Scenario5/resources/masks\51.jpg,"[0.16458333333333333, 0.21851851851851853, 0.17708333333333334, 0.0962962962962963, 0.5720531187821033, 0.01948051939762882]"
26,../../Data_Processing/Scenario5/resources/masks\52.jpg,"[0.8708333333333333, 0.16944444444444445, 0.12083333333333333, 0.06851851851851852, 0.14739024240271995, 0.8376623374815761]"
7,../../Data_Processing/Scenario5/resources/masks\53.jpg,"[0.26458333333333334, 0.21574074074074073, 0.16875, 0.09814814814814815, 0.5309414831391402, 0.06601731608672447]"
9,../../Data_Processing/Scenario5/resources/masks\54.jpg,"[0.31979166666666664, 0.21574074074074073, 0.16458333333333333, 0.09444444444444444, 0.47763797951077336, 0.11471861465769508]"
22,../../Data_Processing/Scenario5/resources/masks\55.jpg,"[0.7020833333333333, 0.175, 0.11458333333333333, 0.06851851851851852, 0.37101044723665094, 0.9112554111545443]"
2,../../Data_Processing/Scenario5/resources/masks\56.jpg,"[0.06145833333333333, 0.20185185185185187, 0.12083333333333333, 0.1, 0.654112189812249, 0.057359307482644666]"
28,../../Data_Processing/Scenario5/resources/masks\57.jpg,"[0.9338541666666667, 0.21203703703703702, 0.13229166666666667, 0.09074074074074075, 0.09443566428871857, 0.13636363624479314]"
23,../../Data_Processing/Scenario5/resources/masks\58.jpg,"[0.7369791666666666, 0.21944444444444444, 0.16354166666666667, 0.10185185185185185, 0.305474025573519, 0.12770562779451047]"
9,../../Data_Processing/Scenario5/resources/masks\59.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.7127727263333498, 0.835497835445904]"
28,../../Data_Processing/Scenario5/resources/masks\60.jpg,"[0.890625, 0.1675925925925926, 0.125, 0.06851851851851852, 0.14478356356096497, 0.8409090908426785]"
5,../../Data_Processing/Scenario5/resources/masks\61.jpg,"[0.146875, 0.17777777777777778, 0.14583333333333334, 0.07407407407407407, 0.7153178300937709, 0.7456709955826123]"
11,../../Data_Processing/Scenario5/resources/masks\62.jpg,"[0.36041666666666666, 0.17407407407407408, 0.12291666666666666, 0.07037037037037037, 0.55341639128234, 0.7954545454790132]"
26,../../Data_Processing/Scenario5/resources/masks\63.jpg,"[0.8145833333333333, 0.1675925925925926, 0.125, 0.06851851851851852, 0.1967118901492585, 0.8290043287236992]"
14,../../Data_Processing/Scenario5/resources/masks\64.jpg,"[0.45989583333333334, 0.17037037037037037, 0.12395833333333334, 0.07407407407407407, 0.4574823997908806, 0.7997835497041546]"
6,../../Data_Processing/Scenario5/resources/masks\65.jpg,"[0.20104166666666667, 0.19074074074074074, 0.13958333333333334, 0.08148148148148149, 0.633320334144959, 0.1093073594147177]"
12,../../Data_Processing/Scenario5/resources/masks\66.jpg,"[0.4317708333333333, 0.2074074074074074, 0.15104166666666666, 0.08888888888888889, 0.49065084871674347, 0.12012987020826672]"
14,../../Data_Processing/Scenario5/resources/masks\67.jpg,"[0.48072916666666665, 0.2111111111111111, 0.15729166666666666, 0.09259259259259259, 0.41856694239397335, 0.09956709948520759]"
4,../../Data_Processing/Scenario5/resources/masks\68.jpg,"[0.1078125, 0.16203703703703703, 0.11770833333333333, 0.06481481481481481, 0.8714312103556284, 0.8809523808095693]"
31,../../Data_Processing/Scenario5/resources/masks\69.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.039674883521555945, 0.8863636363601409]"
25,../../Data_Processing/Scenario5/resources/masks\70.jpg,"[0.8010416666666667, 0.1685185185185185, 0.11875, 0.06666666666666667, 0.19769709161102128, 0.9058441557577698]"
24,../../Data_Processing/Scenario5/resources/masks\71.jpg,"[0.7895833333333333, 0.2111111111111111, 0.16458333333333333, 0.09259259259259259, 0.20266414892544454, 0.11255411262202297]"
17,../../Data_Processing/Scenario5/resources/masks\72.jpg,"[0.5520833333333334, 0.2175925925925926, 0.1625, 0.09814814814814815, 0.35319472095745397, 0.07467532484460139]"
20,../../Data_Processing/Scenario5/resources/masks\73.jpg,"[0.6302083333333334, 0.21481481481481482, 0.1625, 0.1, 0.324870179183347, 0.09956709948520759]"
12,../../Data_Processing/Scenario5/resources/masks\74.jpg,"[0.4161458333333333, 0.21388888888888888, 0.159375, 0.08703703703703704, 0.4604995792429188, 0.08441558446651723]"
26,../../Data_Processing/Scenario5/resources/masks\75.jpg,"[0.8286458333333333, 0.1712962962962963, 0.11979166666666667, 0.07222222222222222, 0.2631308881142905, 0.9523809521392712]"
28,../../Data_Processing/Scenario5/resources/masks\76.jpg,"[0.9192708333333334, 0.2101851851851852, 0.16145833333333334, 0.09074074074074075, 0.11990722686656785, 0.09415584424223021]"
15,../../Data_Processing/Scenario5/resources/masks\77.jpg,"[0.46770833333333334, 0.17037037037037037, 0.12083333333333333, 0.07407407407407407, 0.4885778206479391, 0.7694805192053824]"
7,../../Data_Processing/Scenario5/resources/masks\78.jpg,"[0.22083333333333333, 0.17685185185185184, 0.12083333333333333, 0.07222222222222222, 0.6625479772529386, 0.7499999998077536]"
9,../../Data_Processing/Scenario5/resources/masks\79.jpg,"[0.3140625, 0.21851851851851853, 0.16770833333333332, 0.0962962962962963, 0.49553580591786045, 0.014069264154651435]"
4,../../Data_Processing/Scenario5/resources/masks\80.jpg,"[0.19895833333333332, 0.1925925925925926, 0.14166666666666666, 0.06296296296296296, 0.7165903819739816, 0.10497835503577924]"
14,../../Data_Processing/Scenario5/resources/masks\81.jpg,"[0.46041666666666664, 0.21388888888888888, 0.15416666666666667, 0.09444444444444444, 0.4115679070601069, 0.0790043289159456]"
7,../../Data_Processing/Scenario5/resources/masks\82.jpg,"[0.26979166666666665, 0.21388888888888888, 0.16458333333333333, 0.09444444444444444, 0.5256665503597127, 0.0909090908811278]"
12,../../Data_Processing/Scenario5/resources/masks\83.jpg,"[0.4192708333333333, 0.21296296296296297, 0.15729166666666666, 0.09259259259259259, 0.43767574557076955, 0.07683982688027349]"
23,../../Data_Processing/Scenario5/resources/masks\84.jpg,"[0.7109375, 0.1685185185185185, 0.115625, 0.06666666666666667, 0.27468648016688096, 0.8961038959820569]"
10,../../Data_Processing/Scenario5/resources/masks\85.jpg,"[0.3541666666666667, 0.21388888888888888, 0.1625, 0.09814814814814815, 0.460212228809887, 0.11580086582932826]"
13,../../Data_Processing/Scenario5/resources/masks\86.jpg,"[0.45260416666666664, 0.21296296296296297, 0.15520833333333334, 0.09259259259259259, 0.43305761375612783, 0.08658008665598646]"
26,../../Data_Processing/Scenario5/resources/masks\87.jpg,"[0.8151041666666666, 0.1675925925925926, 0.11979166666666667, 0.06851851851851852, 0.18556679870695114, 0.9069264067756059]"
24,../../Data_Processing/Scenario5/resources/masks\88.jpg,"[0.728125, 0.1675925925925926, 0.125, 0.07222222222222222, 0.26719484410942507, 0.7889610389106055]"
2,../../Data_Processing/Scenario5/resources/masks\89.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.8463906734200348, 0.7164502164092704]"
8,../../Data_Processing/Scenario5/resources/masks\90.jpg,"[0.2890625, 0.21574074074074073, 0.159375, 0.09444444444444444, 0.5181133392209231, 0.07467532484460139]"
7,../../Data_Processing/Scenario5/resources/masks\91.jpg,"[0.28020833333333334, 0.20185185185185187, 0.15416666666666667, 0.08888888888888889, 0.5839986863984205, 0.11363636363985903]"
22,../../Data_Processing/Scenario5/resources/masks\92.jpg,"[0.6984375, 0.17222222222222222, 0.11770833333333333, 0.07407407407407407, 0.3649760883471586, 0.9123376620185832]"
28,../../Data_Processing/Scenario5/resources/masks\93.jpg,"[0.9229166666666667, 0.2175925925925926, 0.15416666666666667, 0.09444444444444444, 0.11769052360312347, 0.04220779231015718]"
20,../../Data_Processing/Scenario5/resources/masks\94.jpg,"[0.6604166666666667, 0.21666666666666667, 0.1625, 0.1, 0.30231317091225696, 0.03787878777742159]"
6,../../Data_Processing/Scenario5/resources/masks\95.jpg,"[0.1921875, 0.1787037037037037, 0.11770833333333333, 0.07222222222222222, 0.6937665483018324, 0.8235930734807217]"
24,../../Data_Processing/Scenario5/resources/masks\96.jpg,"[0.7822916666666667, 0.21574074074074073, 0.17083333333333334, 0.09814814814814815, 0.22823833664857265, 0.03571428574174949]"
28,../../Data_Processing/Scenario5/resources/masks\97.jpg,"[0.89375, 0.16666666666666666, 0.12083333333333333, 0.06666666666666667, 0.12873298988556808, 0.8755411255665919]"
20,../../Data_Processing/Scenario5/resources/masks\98.jpg,"[0.6473958333333333, 0.21296296296296297, 0.15520833333333334, 0.0962962962962963, 0.29615566183092934, 0.08874458869165856]"
26,../../Data_Processing/Scenario5/resources/masks\99.jpg,"[0.8572916666666667, 0.2111111111111111, 0.16458333333333333, 0.09259259259259259, 0.17156872806838608, 0.08441558446651723]"
30,../../Data_Processing/Scenario5/resources/masks\100.jpg,"[0.9536458333333333, 0.20185185185185187, 0.09270833333333334, 0.08888888888888889, 0.07261755711030465, 0.13311688303748784]"
6,../../Data_Processing/Scenario5/resources/masks\101.jpg,"[0.24114583333333334, 0.21481481481481482, 0.15729166666666666, 0.1, 0.5365242913689883, 0.05627705615721436]"
9,../../Data_Processing/Scenario5/resources/masks\102.jpg,"[0.296875, 0.19444444444444445, 0.14166666666666666, 0.08518518518518518, 0.5621190041240889, 0.11471861465769508]"
30,../../Data_Processing/Scenario5/resources/masks\103.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.06319656822243616, 0.9372294369667837]"
11,../../Data_Processing/Scenario5/resources/masks\104.jpg,"[0.37864583333333335, 0.17222222222222222, 0.12604166666666666, 0.07037037037037037, 0.5483877588719991, 0.8225108224628858]"
30,../../Data_Processing/Scenario5/resources/masks\105.jpg,"[0.9453125, 0.16111111111111112, 0.08229166666666667, 0.05555555555555555, 0.06555694669510446, 0.9047619045861366]"
23,../../Data_Processing/Scenario5/resources/masks\106.jpg,"[0.7307291666666667, 0.21574074074074073, 0.16145833333333334, 0.09814814814814815, 0.2581227807359221, 0.03679653675958554]"
30,../../Data_Processing/Scenario5/resources/masks\107.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.1428336856839959, 0.9469696968962938]"
17,../../Data_Processing/Scenario5/resources/masks\108.jpg,"[0.5401041666666667, 0.17037037037037037, 0.11770833333333333, 0.07777777777777778, 0.4073808008877209, 0.8073593072903983]"
2,../../Data_Processing/Scenario5/resources/masks\109.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.6778391248182708, 0.05844155850048072]"
17,../../Data_Processing/Scenario5/resources/masks\110.jpg,"[0.5625, 0.21944444444444444, 0.15625, 0.09444444444444444, 0.33913507522297126, 0.07792207789810954]"
15,../../Data_Processing/Scenario5/resources/masks\111.jpg,"[0.5036458333333333, 0.16944444444444445, 0.109375, 0.07222222222222222, 0.44165760143801397, 0.8603896102403074]"
27,../../Data_Processing/Scenario5/resources/masks\112.jpg,"[0.8677083333333333, 0.2074074074074074, 0.175, 0.0962962962962963, 0.16266086492149565, 0.08441558446651723]"
14,../../Data_Processing/Scenario5/resources/masks\113.jpg,"[0.446875, 0.16666666666666666, 0.1125, 0.06666666666666667, 0.5732230455024512, 0.8928571426209544]"
10,../../Data_Processing/Scenario5/resources/masks\114.jpg,"[0.3234375, 0.175, 0.12604166666666666, 0.07222222222222222, 0.5802836559176513, 0.7943722941535829]"
20,../../Data_Processing/Scenario5/resources/masks\115.jpg,"[0.6588541666666666, 0.21388888888888888, 0.15729166666666666, 0.09814814814814815, 0.307567578659712, 0.10173160182847395]"
19,../../Data_Processing/Scenario5/resources/masks\116.jpg,"[0.6140625, 0.21666666666666667, 0.159375, 0.1, 0.32351552718983007, 0.05952380951831677]"
28,../../Data_Processing/Scenario5/resources/masks\117.jpg,"[0.8989583333333333, 0.2101851851851852, 0.17083333333333334, 0.09444444444444444, 0.12748096303733, 0.13528138522695707]"
22,../../Data_Processing/Scenario5/resources/masks\118.jpg,"[0.675, 0.17037037037037037, 0.1125, 0.06666666666666667, 0.3150181646532228, 0.8062770561187651]"
24,../../Data_Processing/Scenario5/resources/masks\119.jpg,"[0.7578125, 0.1675925925925926, 0.121875, 0.06851851851851852, 0.2443915354838323, 0.8246753246523549]"
29,../../Data_Processing/Scenario5/resources/masks\120.jpg,"[0.953125, 0.16666666666666666, 0.07708333333333334, 0.06666666666666667, 0.05486340592702536, 0.9080086581010361]"
5,../../Data_Processing/Scenario5/resources/masks\121.jpg,"[0.15104166666666666, 0.21574074074074073, 0.18125, 0.09814814814814815, 0.5862153896618648, 0.06277056272562205]"
28,../../Data_Processing/Scenario5/resources/masks\122.jpg,"[0.9041666666666667, 0.16574074074074074, 0.11875, 0.06481481481481481, 0.11877835019558117, 0.8906926404314852]"
9,../../Data_Processing/Scenario5/resources/masks\123.jpg,"[0.34427083333333336, 0.21481481481481482, 0.16354166666666667, 0.1, 0.48535539090534335, 0.0790043289159456]"
23,../../Data_Processing/Scenario5/resources/masks\124.jpg,"[0.7307291666666667, 0.21388888888888888, 0.16145833333333334, 0.09444444444444444, 0.25588555242592126, 0.057359307482644666]"
31,../../Data_Processing/Scenario5/resources/masks\125.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.03378419984128755, 0.12445887443340806]"
16,../../Data_Processing/Scenario5/resources/masks\126.jpg,"[0.5395833333333333, 0.2101851851851852, 0.15416666666666667, 0.09074074074074075, 0.42310297408072484, 0.12445887443340806]"
15,../../Data_Processing/Scenario5/resources/masks\127.jpg,"[0.4791666666666667, 0.17037037037037037, 0.11666666666666667, 0.07407407407407407, 0.44746618501956, 0.8008658007219905]"
4,../../Data_Processing/Scenario5/resources/masks\128.jpg,"[0.146875, 0.15925925925925927, 0.125, 0.05925925925925926, 0.851398780812987, 0.835497835445904]"
28,../../Data_Processing/Scenario5/resources/masks\129.jpg,"[0.853125, 0.1685185185185185, 0.11875, 0.06666666666666667, 0.15943843516431597, 0.8441558440499838]"
19,../../Data_Processing/Scenario5/resources/masks\130.jpg,"[0.584375, 0.21296296296296297, 0.15416666666666667, 0.08888888888888889, 0.3323412902088303, 0.0909090908811278]"
25,../../Data_Processing/Scenario5/resources/masks\131.jpg,"[0.79375, 0.1685185185185185, 0.12083333333333333, 0.06666666666666667, 0.22265552841872469, 0.8246753246523549]"
24,../../Data_Processing/Scenario5/resources/masks\132.jpg,"[0.7442708333333333, 0.1675925925925926, 0.11979166666666667, 0.06851851851851852, 0.2612220603012665, 0.8463203463932502]"
5,../../Data_Processing/Scenario5/resources/masks\133.jpg,"[0.184375, 0.21666666666666667, 0.17083333333333334, 0.1, 0.5763839001637132, 0.06277056272562205]"
12,../../Data_Processing/Scenario5/resources/masks\134.jpg,"[0.38177083333333334, 0.175, 0.13020833333333334, 0.06851851851851852, 0.5405471973001778, 0.7467532466004483]"
24,../../Data_Processing/Scenario5/resources/masks\135.jpg,"[0.7447916666666666, 0.1685185185185185, 0.11875, 0.06666666666666667, 0.23624309846159053, 0.8560606058613689]"
22,../../Data_Processing/Scenario5/resources/masks\136.jpg,"[0.6697916666666667, 0.1675925925925926, 0.125, 0.07222222222222222, 0.3108105334488642, 0.8170995669123141]"
24,../../Data_Processing/Scenario5/resources/masks\137.jpg,"[0.7979166666666667, 0.2111111111111111, 0.1625, 0.08888888888888889, 0.19712239075954166, 0.11038961027875661]"
29,../../Data_Processing/Scenario5/resources/masks\138.jpg,"[0.9421875, 0.2, 0.115625, 0.0962962962962963, 0.0938404384198503, 0.05519480513937831]"
5,../../Data_Processing/Scenario5/resources/masks\139.jpg,"[0.20677083333333332, 0.19166666666666668, 0.11770833333333333, 0.07962962962962963, 0.6254181974918038, 0.11038961027875661]"
9,../../Data_Processing/Scenario5/resources/masks\140.jpg,"[0.30572916666666666, 0.21666666666666667, 0.16145833333333334, 0.09259259259259259, 0.48642269248041237, 0.11363636363985903]"
9,../../Data_Processing/Scenario5/resources/masks\141.jpg,"[0.31927083333333334, 0.1962962962962963, 0.15729166666666666, 0.08888888888888889, 0.6204716651947693, 0.8030303030652569]"
28,../../Data_Processing/Scenario5/resources/masks\142.jpg,"[0.8953125, 0.2101851851851852, 0.17395833333333333, 0.09444444444444444, 0.1383797541105507, 0.0909090908811278]"
15,../../Data_Processing/Scenario5/resources/masks\143.jpg,"[0.5020833333333333, 0.16944444444444445, 0.12291666666666666, 0.07592592592592592, 0.44619363313934934, 0.7813852813243617]"
22,../../Data_Processing/Scenario5/resources/masks\144.jpg,"[0.7135416666666666, 0.21203703703703702, 0.15625, 0.09074074074074075, 0.2712177500406146, 0.10497835503577924]"
13,../../Data_Processing/Scenario5/resources/masks\145.jpg,"[0.4083333333333333, 0.175, 0.125, 0.06851851851851852, 0.5181338642528955, 0.7976190475146853]"
2,../../Data_Processing/Scenario5/resources/masks\146.jpg,"[0.0546875, 0.20833333333333334, 0.090625, 0.09074074074074075, 0.6662014326377901, 0.08549783563815042]"
11,../../Data_Processing/Scenario5/resources/masks\147.jpg,"[0.3984375, 0.21481481481481482, 0.16145833333333334, 0.09259259259259259, 0.46704706388797307, 0.08333333344868118]"
16,../../Data_Processing/Scenario5/resources/masks\148.jpg,"[0.5390625, 0.2175925925925926, 0.16354166666666667, 0.09814814814814815, 0.3794872847412857, 0.03896103879525764]"
9,../../Data_Processing/Scenario5/resources/masks\149.jpg,"[0.33229166666666665, 0.21574074074074073, 0.16458333333333333, 0.09814814814814815, 0.5125100059591025, 0.08441558446651723]"
17,../../Data_Processing/Scenario5/resources/masks\150.jpg,"[0.5640625, 0.21666666666666667, 0.159375, 0.09259259259259259, 0.34379425710155803, 0.07792207789810954]"
14,../../Data_Processing/Scenario5/resources/masks\151.jpg,"[0.4703125, 0.21388888888888888, 0.165625, 0.09814814814814815, 0.4233903244991727, 0.0909090908811278]"
7,../../Data_Processing/Scenario5/resources/masks\152.jpg,"[0.221875, 0.1925925925925926, 0.12708333333333333, 0.08518518518518518, 0.6173723856294249, 0.11147186129659267]"
17,../../Data_Processing/Scenario5/resources/masks\153.jpg,"[0.5401041666666667, 0.21388888888888888, 0.16145833333333334, 0.09444444444444444, 0.3614868331889197, 0.08658008665598646]"
10,../../Data_Processing/Scenario5/resources/masks\154.jpg,"[0.35520833333333335, 0.21574074074074073, 0.16041666666666668, 0.09814814814814815, 0.5010159890024296, 0.08441558446651723]"
4,../../Data_Processing/Scenario5/resources/masks\155.jpg,"[0.109375, 0.175, 0.11875, 0.06851851851851852, 0.7404199421252822, 0.7683982683413435]"
28,../../Data_Processing/Scenario5/resources/masks\156.jpg,"[0.9270833333333334, 0.1648148148148148, 0.12708333333333333, 0.06666666666666667, 0.09759651896456452, 0.8961038959820569]"
17,../../Data_Processing/Scenario5/resources/masks\157.jpg,"[0.5541666666666667, 0.2175925925925926, 0.1625, 0.09814814814814815, 0.3486997393346476, 0.07792207789810954]"
30,../../Data_Processing/Scenario5/resources/masks\158.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.042466287636479944, 0.06493506506888841]"
11,../../Data_Processing/Scenario5/resources/masks\159.jpg,"[0.38125, 0.21574074074074073, 0.16875, 0.09444444444444444, 0.4430122534461148, 0.11580086582932826]"
